EV of rolling D dice with P points
P \ D	1	2	3	4	5	6
7400	-4908	-3239	-1976	-1035	-373	209
7450	-4942	-3261	-1990	-1043	-377	208
7500	-4975	-3283	-2003	-1050	-381	207
7550	-5008	-3306	-2017	-1058	-385	206
7600	-5042	-3328	-2031	-1066	-389	205
7650	-5075	-3350	-2045	-1074	-393	204
7700	-5108	-3372	-2059	-1082	-397	203
7750	-5142	-3394	-2073	-1090	-400	201
7800	-5175	-3417	-2087	-1098	-404	200
7850	-5208	-3439	-2101	-1106	-408	199
7900	-5242	-3461	-2115	-1113	-412	198
7950	-5275	-3483	-2128	-1121	-416	197
8000	-5308	-3506	-2142	-1129	-420	196
8050	-5342	-3528	-2156	-1137	-424	194
8100	-5375	-3550	-2170	-1145	-427	193
8150	-5408	-3572	-2184	-1153	-431	192
8200	-5442	-3594	-2198	-1161	-435	191
8250	-5475	-3617	-2212	-1169	-439	190
8300	-5508	-3639	-2226	-1176	-443	189
8350	-5542	-3661	-2240	-1184	-447	187
8400	-5575	-3683	-2253	-1192	-451	186
8450	-5608	-3706	-2267	-1200	-454	185
8500	-5642	-3728	-2281	-1208	-458	184
8550	-5675	-3750	-2295	-1216	-462	183
8600	-5708	-3772	-2309	-1224	-466	182
8650	-5742	-3794	-2323	-1231	-470	181
8700	-5775	-3817	-2337	-1239	-474	179
8750	-5808	-3839	-2351	-1247	-478	178
8800	-5842	-3861	-2365	-1255	-481	177
8850	-5875	-3883	-2378	-1263	-485	176
8900	-5908	-3906	-2392	-1271	-489	175
8950	-5942	-3928	-2406	-1279	-493	174
9000	-5975	-3950	-2420	-1287	-497	172
9050	-6008	-3972	-2434	-1294	-501	171
9100	-6042	-3994	-2448	-1302	-505	170
9150	-6075	-4017	-2462	-1310	-508	169
9200	-6108	-4039	-2476	-1318	-512	168
9250	-6142	-4061	-2490	-1326	-516	167
9300	-6175	-4083	-2503	-1334	-520	165
9350	-6208	-4106	-2517	-1342	-524	164
