EV of rolling D dice with P points
P \ D	1	2	3	4	5	6
7450	-4942	-3261	-1983	-1029	-349	254
7500	-4975	-3283	-1997	-1037	-353	252
7550	-5008	-3306	-2010	-1045	-357	251
7600	-5042	-3328	-2024	-1053	-361	250
7650	-5075	-3350	-2038	-1061	-364	249
7700	-5108	-3372	-2052	-1069	-368	248
7750	-5142	-3394	-2066	-1076	-372	247
7800	-5175	-3417	-2080	-1084	-376	245
7850	-5208	-3439	-2094	-1092	-380	244
7900	-5242	-3461	-2108	-1100	-384	243
7950	-5275	-3483	-2122	-1108	-388	242
8000	-5308	-3506	-2135	-1116	-391	241
8050	-5342	-3528	-2149	-1124	-395	240
8100	-5375	-3550	-2163	-1131	-399	238
8150	-5408	-3572	-2177	-1139	-403	237
8200	-5442	-3594	-2191	-1147	-407	236
8250	-5475	-3617	-2205	-1155	-411	235
8300	-5508	-3639	-2219	-1163	-415	234
8350	-5542	-3661	-2233	-1171	-418	233
8400	-5575	-3683	-2247	-1179	-422	232
8450	-5608	-3706	-2260	-1187	-426	230
8500	-5642	-3728	-2274	-1194	-430	229
8550	-5675	-3750	-2288	-1202	-434	228
8600	-5708	-3772	-2302	-1210	-438	227
8650	-5742	-3794	-2316	-1218	-442	226
8700	-5775	-3817	-2330	-1226	-446	225
8750	-5808	-3839	-2344	-1234	-449	223
8800	-5842	-3861	-2358	-1242	-453	222
8850	-5875	-3883	-2372	-1250	-457	221
8900	-5908	-3906	-2385	-1257	-461	220
8950	-5942	-3928	-2399	-1265	-465	219
9000	-5975	-3950	-2413	-1273	-469	218
9050	-6008	-3972	-2427	-1281	-473	216
9100	-6042	-3994	-2441	-1289	-476	215
9150	-6075	-4017	-2455	-1297	-480	214
9200	-6108	-4039	-2469	-1305	-484	213
9250	-6142	-4061	-2483	-1312	-488	212
9300	-6175	-4083	-2497	-1320	-492	211
9350	-6208	-4106	-2510	-1328	-496	210
9400	-6242	-4128	-2524	-1336	-500	208
9450	-6275	-4150	-2538	-1344	-503	207
9500	-6308	-4172	-2552	-1352	-507	206
9550	-6342	-4194	-2566	-1360	-511	205
9600	-6375	-4217	-2580	-1368	-515	204
9650	-6408	-4239	-2594	-1375	-519	203
9700	-6442	-4261	-2608	-1383	-523	201
9750	-6475	-4283	-2622	-1391	-527	200
9800	-6508	-4306	-2635	-1399	-530	199
9850	-6542	-4328	-2649	-1407	-534	198
9900	-6575	-4350	-2663	-1415	-538	197
9950	-6608	-4372	-2677	-1423	-542	196
10000	-6642	-4394	-2691	-1431	-546	195
final cache size was 1053 items, we hit it 8970028 times
